"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Eleccion","Eleccion","eleccion_id","alfanumérico","Identificacón única del acto eleccionario","","edf:Contest",""
"Eleccion","Eleccion","eleccion_nombre","alfanumérico","Nombre de la elección","","edf:Contest",""
"Eleccion","Eleccion","eleccion_tipo","alfanumérico","Tipo de elección","Presidencial / PASO","edf:Contest",""
"Eleccion","Eleccion","eleccion_fecha_inicio","fecha","Fecha de inicio de la elección","","edf:Contest",""
"Eleccion","Eleccion","elección_fecha_fin","fecha","Fecha de fin de la elección","","edf:Contest",""
"ResultadoOpcion","Opcion","opcion_eleccion_id","alfanumérico","URI unica que identifique el acto eleccionario","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_region_id","alfanumérico","URI que identifica la region donde se realiza la elección. xx:yy:zzzz donde xx corresponde al codigo de provincia, yy corresponde al código de departamento, zzzz corresponde al codigo de localidad. En caso de no existir un codigo electoral se puede usar la codificación ISO 3166-2","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_region_nombre","alfanumérico","Nombre de la región","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_partido_id","alfanumérico","URI identificando al partido","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_partido_nombre","alfanumérico","Nombre del partido","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_candidato_id","alfanumérico","URI identificando al candidato","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_candidato_nombre","alfanumérico","Nombre del candidato","","edf:Choices",""
"ResultadoOpcion","Opcion","opcion_candidato_votos","numérico","","","edf:Choices",""
"ResultadoOpcion","Resultado","resultado_elegido","booleano","Indica si el candidato fue elegido o no","Si/No","edf:Results","Este valor en el estandar se ubica dentro del resultado, pero a los efectos de esta propuesta corresponde que se ubique a nivel del candidato"
"ResultadoOpcion","Resultado","resultado_orden","numérico","Campo que permite ordenar el resultado de la elección","","edf:Results","Este valor en el estandar se ubica dentro del resultado, pero a los efectos de esta propuesta corresponde que se ubique a nivel del candidato"
"ResultadoMesa","Resultado","resultado_eleccion_id","alfanumérico","Identificacón única del acto eleccionario","","edf:Results",""
"ResultadoMesa","Resultado","resultado_region_id","alfanumérico","Identifica la region donde se realiza la elección. xx:yy:zzzz donde xx corresponde al codigo de provincia, yy corresponde al código de departamento, zzzz corresponde al codigo de localidad.","","edf:Results",""
"ResultadoMesa","Resultado","resultado_circuito_id","alfanumérico","Indica circuito de votación","","schema:Thing",""
"ResultadoMesa","Resultado","resultado_mesa_id","alfanumérico","Indica la mesa de votación","","schema:Thing","Se agrega la mesa de votación para conocer los resultados a un nivel mas desagregado."
"ResultadoMesa","Resultado","resultado_partido_id","alfanumérico","Identificación única del partido","","edf:Results",""
"ResultadoMesa","Resultado","resultado_candidato_id","alfanumérico","Identificación única del candidato","","edf:Results",""
"ResultadoMesa","Resultado","resultado_opcion_candidato_id","alfanumérico","Identifica la hoja de votación o lista a la que pertenece el candidato","","edf:Results",""
"ResultadoMesa","Resultado","resultado_votos_obtenidos","numérico","Cantidad de votos obtenidos por el candidato en esa lista","","edf:Results",""
"ResumenMesa","Resultado","resumen_eleccion_id","alfanumérico","Identificacón única del acto eleccionario","","schema:Thing",""
"ResumenMesa","Resultado","resumen_region_id","alfanumérico","Identifica la region donde se realiza la elección. xx:yy:zzzz donde xx corresponde al codigo de provincia, yy corresponde al código de departamento, zzzz corresponde al codigo de localidad.","","schema:Thing",""
"ResumenMesa","Resultado","resultado_circuito_id","alfanumérico","Indica circuito de votación","","schema:Thing",""
"ResumenMesa","Resultado","resumen_mesa_id","alfanumérico","Indica la mesa de votación","","schema:Thing",""
"ResumenMesa","Resumen por mesa","resumen_votos_anulados","numérico","Cantidad de votos anulados en la mesa receptora de votos","","schema:Thing",""
"ResumenMesa","Resumen por mesa","resumen_votos_en_blanco","numérico","Cantidad de votos en blanco en la mesa receptora de votos","","schema:Thing",""
"ResumenMesa","Resumen por mesa","resumen_votos_otro_estado","numérico","Cantidad de votos con otro estado en la mesa receptora de votos","","schema:Thing",""
"ResumenMesa","Resumen por mesa","resumen_votos_emitidos","alfanumérico","Total de votos emitidos se compone del total de los votos del resumen por mesa mas los votos obtenidos por cada opcion","","schema:Thing",""
